original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acacia acuminata,Acacia acuminata,Acacia acuminata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia acuminata,Acacia acuminata,Acacia acuminata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia aemula ssp. aemula,Acacia aemula subsp. aemula,Acacia aemula subsp. aemula,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia aemula ssp. muricata,Acacia aemula subsp. muricata,Acacia aemula subsp. muricata,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia amyctica,Acacia amyctica,Acacia amyctica,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia ancistrophylla var.. perarcuata,Acacia ancistrophylla var. perarcuata,Acacia ancistrophylla var. perarcuata,APC,variety,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia arcuatilis,Acacia arcuatilis,Acacia arcuatilis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia argutifolia,Acacia argutifolia,Acacia argutifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia argutifolia,Acacia argutifolia,Acacia argutifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia asepala,Acacia asepala,Acacia asepala,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia ataxiphylla ssp. ataxiphylla,Acacia ataxiphylla subsp. ataxiphylla,Acacia ataxiphylla subsp. ataxiphylla,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia awestoniana,Acacia awestoniana,Acacia awestoniana,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
