species,fire_response,post_fire_recovery,page
Eucalyptus cornuta,RS ep,,140
Eucalyptus conferruminata,OSC,,140
Eucalyptus megacarpa,RS ep /OSC,,140
Acacia sulcata ssp. sulcata,OSS,,140
Andersonia sprengelioides,OSS,rapid,140
Andersonia setifolia,OSS,,140
Anthocercis viscosa,RS,,140
Banksia verticillata,OSC,slow,140
Banksia formosa,OSC,medium,140
Calothamnus quadrifidus,RS,,140
Calytrix sp. Esperance,OSS?,,140
Chamelaucium forrestii ssp. orarium,OSS?,,140
Darwinia citriodora,OSS,rapid,140
Daviesia horrida,RS,,140
Dodanaea ceratocarpa,RS,,140
Eutaxia myrtifolia,OSS,rapid,140
Gastrolobium bilobum,OSS,rapid,140
Gastrolobium brownii,,,140
Gastrolobium coriaceum,OSS,,140
Hakea drupaceae,OSC,,140
Hakea elliptica,OSC,slow,140
Isopogon formosus,OSC,rapid to medium,140
Leucopogon altissimus,OSS,,140
Melaleuca diosmifolia,OSC,slow,140
Melaleuca lanceolata,OSC,slow,140
Prostanthera verticllaris,OSS,,140
Ricinocarpus glaucus,OSS,rapid,140
Sphenotoma drummondii,OSS,slow,140
Taxandria marginata,RS/ OSC,,140
Thomasia discolor,OSS,,140
Thryptomene saxicola,RS/OSC,,140
Verticordia plumosa,OSS,,140
Asplenium aethiopicum,Fern,,140
Eucalyptus retusa,RS,,141
Eucalyptus cuspidata,RS,,141
Eucalyptus retusa x cornuta,RS,,141
Eucalyptus retusa x cuspidata,RS,,141
Eucalyptus decipiens subsp adesmo.,RS,,141
Eucalyptus notactites,RS,,141
Grevillea sp. 'nivea',OSS,,141
Thryptomene saxicola,RS/OSC,,141
Agonis flexuosa,RS/OSC,,141
Hakea victoria,OSC,,141
Banksia dryandroides,OSC,,141
Eucalyptus retusa,RS,,141
Eucalyptus retusa x cornuta,RS,,141
Eucalyptus cornuta,RSE,,141
Eucalyptus decipiens subsp. adesmo.,RS,,141
Eucalyptus notactites,RS,,141
Anthocercis viscosa,RS,,141
Calothamnus quadrifidus,RS,,141
Kunzea baxteri,OSC,,141
Agonis flexuosa,OSC/RS,,141
Banksia violaceae,OSC,,141
Allocasuarina trichodon,OSC,,141
Callitris preissii,OSC,slow,141
Eucalyptus cornuta,RS ep,,141
Eucalyptus conferruminata,OSC,slow,141
Eucalyptus doratoxylon,RS ep,,141
Eycalyptus sweedmaniana,RS,,141
Eucalyptus utilis,OSC,slow,141
Acacia myrtifolia,OSS,,142
Agonis baxteri,RS,,142
Allocasuarina campestris,?OSC,,142
Anthocercis viscosa ssp. caudata,?OSS,,142
Banksia armata var. ignicida,OSC,,142
Bossiaea dentata,OSS,,142
Calothamnus quadrifidus,RS,,142
Calothamnus villosus,OSC,,142
Dillwynia pungens,OSS,,142
Dodanaea ceratocarpa,RS,,142
Dodanaea viscosa,OSS,,142
Eutaxia myrtifolia,OSS,rapid,142
Gastrolobium bilobum,OSS,rapid,142
Goodenia scapigera,OSS,,142
Grevillea concinna ssp. concinna,OSS,,142
Grevillea oligantha,OSS,,142
Hakea clavata,OSC,,142
Hakea drupaceae,OSC,,142
Kunzea baxteri,OSS,,142
Lambertia echinata ssp. echinata,OSC,,142
Leptospermum sericeum,?OSC,,142
Leucopogon interruptus,OSS,,142
Melaleuca elliptica,RS/OSC,medium,142
Melaleuca fulgens,RS,,142
Melaleuca globiferra,R/OSC,,142
Mirbelia dilatata,OSS,rapid,142
Taxandria callistachys,,,142
Taxandria marginata,RS/OSC,,142
Thryptomene australis,OSC,,142
Anigozanthos gabrielae,Annual,rapid,142
Eucalyptus cornuta,RS ep,,143
Eucalyptus virgineae,RS,,143
Eucalyptus megacarpa,RS ep / OSC,,143
Acacia sulcata ssp. sulcata,OSS,,143
Andersonia hammerslyeana,OSS,medium,143
Andersonia sprengelioides,OSS,rapid,143
Andersonia setifolia,OSS,,143
Andersonia virolens,OSS,rapid,143
Banksia formosa,OSC,medium,143
Borya longioscapa,RS/OSS,,143
Cryptandra congesta,,,143
Grevillea fuscolutea,OSS,,143
Calothamnus quadrifidus,RS,,143
Calothamnus sp. Mt Lindesay,RS/OSC,medium - slow,143
Calytrix sp. Esperance,OSS,,143
Chamelaucium forrestii ssp. forrestii,OSS,,143
Darwinia citriodora,OSS,rapid,143
Dodanaea ceratocarpa,RS,,143
Eutaxia myrtifolia,OSS,rapid,143
Gastrolobium bilobum,OSS,rapid,143
Gastrolobium brownii,OSS,rapid,143
Gastrolobium coriaceum,OSS,,143
Hemigena humilis,,,143
Hemigena podlyarina,,,143
Isopogon formosus,OSC,rapid to medium,143
Lasiopetalum sp. Denmark,OSS,rapid to medium,143
Leucopogon sp. Southern granite,,,143
Olearia paucidentata,OSS,,143
Ricinocarpus glaucus,OSS,rapid,143
Sphenotoma drummondii,OSS,slow,143
Taxandria conspicua,,,143
Taxandria marginata,,,143
Thryptomene saxicola,RS/OSC,,143
Verticordia endlicheriana var. angustifolia,,,144
Verticordia plumosa,OSS,,144
Laxamnnia grandiflora spp brendae,,,144
Asplenium aethiopicum,Fern,,144
Eucalyptus megacarpa,RS ep / OSC,,144
Eucalyptus cornuta,RS ep,,144
Acacia heteroclita ssp. valida,OSS,,144
Asterolasia sp. Kalgan,OSS,,144
Gastrolobium subcordatum,OSS,,144
Hibbertia porongurupensis,OSS,,144
Sphenotoma drummondii,OSS,slow,144
Taxandria marginata,RS /OSC,,144
Thryptomene saxicola,RS/OSC,,144
Villarsia calthifolia,OSS,rapid,144
Allocasuarina huegeliana,OSC,slow,145
Eucalyptus lehmannii,RS,,145
Eucalyptus tetraptera,RS,,145
Acacia acuminata,OSS,medium to slow,145
Acacia bidentata,,,145
Acacia erinacea,,,145
Acacia fragilis,,,145
Acacia glaucissima,,,145
Acacia pinguiculosa ssp. teretifolia,OSS,,145
Acacia tryptycha,,,145
Allocasuarina campestris,OSC,,145
Allocasuarina scleroclada,RS,,145
Beaufortia schaueri,OSC,,145
Baeckea crassifolia subsp.. icosandra,,,145
Banksia armata subsp.. ignicida,OSS,,145
