species,conservation_code,fire_response,primary_juvenile_period,page
Acacia aemula ssp. aemula,P4,OSS,,195
Acacia amyctica,P2,,,195
Acacia ancistrophylla var.. perarcuata,P3,,,195
Acacia arcuatilis,P2,,,195
Acacia argutifolia,P4,OSS,>36,195
Acacia asepala,P2,,,195
Acacia ataxiphylla ssp. ataxiphylla,P3,,,195
Acacia awestoniana,R,OSS,48,195
Acacia bifaria,P3,,,195
Acacia brachyphylla var.. recurvata,P3,,,195
Acacia declinata,P3,,,195
Acacia depressa,R,,,195
Acacia diaphana,P1,,,195
Acacia dictyoneura,P4,OSS,,195
Acacia diminuta,P1,,,195
Acacia dissona var.. indoloria,P3,,,195
Acacia disticha,P3,OSS?,,195
Acacia drummondii ssp. elegans Porongurup variant (R.J.,,,,195
Cumming 938),P4,OSS,,195
Acacia durabilis,P3,OSS,>36,195
Acacia empelioclada,P4,,,195
Acacia errabunda,P3,?OSS,,195
Acacia euthyphylla,P3,,,195
Acacia glaucissima,P3,,,195
Acacia grisea,P4,,,195
Acacia heterochroa ssp. robertii,P2,,,195
Acacia heteroclita ssp. valida,P2,OSS,,196
Acacia hystrix ssp. continua,P1,,,196
Acacia imparilis,P2,OSS,36±,196
Acacia improcera,P3,,,196
Acacia incanicarpa,P2,RS,,196
Acacia laricina var.. crassifolia,P3,OSS,,196
Acacia leioderma Fitzgerald River N.P. variant (A.S.,,,,196
George 9922),P2,OSS?,,196
Acacia microneura,P1,,,196
Acacia moirii ssp. dasycarpa,P4,OSS?,,196
Acacia mutabilis ssp. incurva,P2,OSS,,196
Acacia mutabilis ssp. rhynchophylla,P3,,,196
Acacia newbeyi,P3,,,196
Acacia nitidula,P2,,,196
Acacia papulosa,P2,,,196
Acacia phlebopetala var.. pubescens,P2,,,196
Acacia pinguiculosa ssp. pinguiculosa,P4,OSS?,,196
Acacia prismifolia,X,,,196
Acacia rhamphophylla,R,OSS,,196
Acacia simulans,P4,OSS,≤48,196
Acacia singula,P3,,,196
Acacia sp. Esperance (M.A. Burgman 1833b),P1,,,196
Acacia sp. Petrudor Rocks (B.R. Maslin 7714),P1,,,196
Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),P1,,,196
Acacia subtiliformis,P3,,,196
Acacia truculenta,P3,,,196
Acacia trulliformis,R,OSS,,196
Acacia undosa,P3,,,196
Acacia veronica,P3,OSS,,196
Acrotriche dura,P2,,,196
Acrotriche parviflora,P4,,,196
Actinotus rhomboideus,P4,OSS,≤24,196
Actinotus sp Walpole,P3,OSS,,196
Adenanthos cacomorphus,P2,RS,,196
Adenanthos dobagii,R,OSS,48,196
Adenanthos ellipticus,R,OSS,48,196
Adenanthos filifolius,P3,OSS,48 to 60,196
Adenanthos gracilipes,P3,,,196
Adenanthos ileticos,P4,,,196
Adenanthos labillardierei,P4,OSS,,196
Adenanthos linearis,P2,OSS?,48±,196
Adenanthos pungens ssp. effusus,R,,,196
Adenanthos pungens ssp. pungens,R,OSS,,196
Adenanthos velutinus,R,,,196
Adenanthos x cunninghamii,P4,OSS,,196
Agonis undulata,P3,,,196
Agrostocrinum scabrum ssp. littorale,P2,,,196
Alexgeorgea ganopoda,P3,RS/OSS,24,196
Allocasuarina hystricosa,P3,RS,,197
Amanita carneiphylla,P2,,,197
Amperea protensa,P3,RS,,197
Andersonia amabile,P3,OSS,24,197
Andersonia auriculata,P3,OSS,36,197
Andersonia axilliflora,R,OSS,14,197
Andersonia carinata,P3,OSS,,197
Andersonia depressa,P3,OSS,,197
Andersonia echinocephala,P3,OSS,>48,197
Andersonia grandiflora,P3,OSS,,197
Andersonia hammersleyana,P2,OSS,36 to 48,197
Andersonia jamesii,P1,OSS,(JL),197
Andersonia pinaster,R,OSS,36,197
Andersonia redolens,P1,OSS,36 to 48,197
Andersonia setifolia,P3,OSS,,197
Andersonia lazulina,P3,OSS,24,197
Andersonia virolens,P2,OSS,24 to 36,197
Angasomyrtus salina,P2,,,197
Anigozanthos bicolor ssp. minor,R,OSS,12 to 24,197
Anthocercis fasciculata,P4,OSS,≤24,197
Anthocercis sylvicola,P2,RS,,197
Aotus franklandii,P2,?,,197
Aotus lanea,P1,,,197
Aotus prosacris,P1,,,197
Apium prostratum ssp. phillipii,R,OSS,12,197
Apodasmia ceramophila,P2,RS,,197
Asplenium aethiopicum,P4,FERN,,197
Asplenium obtusatum ssp. northlandicum,R,FERN,,197
Astartea arbuscula,P4,OSS,36 to 48,197
Astartea sp. Esperance (A. Fairall 2431),P1,,,197
Astartea sp. Fitzgerald (K.R. Newbey 10844),P2,,,197
Astartea sp. Hopetoun area (A.S. George 10594),P3,OSS,,197
Astartea sp. Jerdacuttup (A. Strid 21898),P1,,,197
Astartea sp. Jyndabinbin Rocks (K.R. Newbey 7689),P2,,,197
Astartea sp. Mt Johnston (A.R. Annels 5645),P3,OSS,36 to 48,197
Astartea sp.Fitzgerald(K.R.Newbey 10844),P2,,,197
Asteridea archeri,P2,OSS,,197
Asteridea gracilis,P3,,,197
Asterolasia sp. Kalgan River (S. Barrett 1522),P1,OSS,,197
Astroloma microphyllum,P3,,,197
Astroloma recurvum,P3,,,197
Astroloma sp. Grass Patch (A.J.G. Wilson 110),P2,,,197
Astroloma sp.Nannup(R.D.Royce 3978),P4,,,197
Astus duomilius,P1,,,197
Astus wittweri,P2,,,197
Atriplex muelleri,P1,,,197
Austrofestuca littoralis,P1,RS?,,197
Baeckea crispiflora ssp. Ongerup (A. Scougall & C.,,,,198
Garawanta E35),P1,,,198
Baeckea sp. Exclamation Lake (M.E. Trudgen 1524),P1,,,198
Baeckea sp. Gibson (K.R. Newbey 11084),P1,,,198
Baeckea sp. Hatter Hill (K.R. Newbey 3284),P3,,,198
Baeckea sp. Merredin (K.R. Newbey 2506),P3,,,198
Baeckea sp. Mt Gibbs (G.F. Craig 7031),P2,,,198
Baeckea sp. Mt Glasse (P.G. Wilson 5717),P2,,,198
Baeckea sp. Youndegin Hill (A.S. George 15772),P1,,,198
Banksia aculeata,P2,OSC,96±,198
Banksia acuminata,P4,RS,,198
Banksia anatona,R,OSC,72,198
Banksia brownii Stirling Range,R,OSC,>120,198
Banksia brownii Coastal,R,OSC,72,198
Banksia calophylla,P3,RS,,198
Banksia concinna,P4,OSC,>84,198
Banksia corvijuga,P1,OSC,>36,198
Banksia densa var.. parva,P2,OSC,48 to 60,198
Banksia foliolata,P4,OSC,60±,198
Banksia foliosissima,P2,OSC,>36,198
Banksia goodii,R,RS,,198
Banksia hirta,P3,OSC,,198
Banksia ionthocarpa ssp. ionthocarpa,R,OSC,>60,198
Banksia laevigata ssp. laevigata,P4,OSC,,198
Banksia lepidorhiza,P1,RS,,198
Banksia lullfitzii,P3,RS,,198
Banksia meganotia,P3,RS,,198
Banksia montana,R,OSC,>120,198
Banksia mucronulata ssp. retrorsa,R,OSC,,198
Banksia plumosa ssp. denticulata,P2,OSC,≥48,198
Banksia porrecta,P4,RS/OSC,36,198
Banksia prolata ssp. archeos,P2,OSC,,198
Banksia prolata ssp. calcicola,P1,OSC,,198
Banksia prolata ssp. prolata,P3,OSC,,198
Banksia pseudoplumosa,R,OSC,60 to 72,198
Banksia rufa ssp. chelomacarpa,P3,RS,,198
Banksia rufa ssp. flavescens,P3,RS,,198
Banksia rufa ssp. pumila,P2,OSC,60±,198
Banksia seneciifolia,P3,OSC,>36,198
Banksia serra,P4,OSC,36,198
Banksia sessilis var. cordata,P4,OSC,,198
Banksia solandri,P4,OSC,>84,198
Banksia sphaerocarpa var. dolichostyla,R,RS,,198
Banksia sphaerocarpa var.. latifolia,P2,RS,,198
Banksia subpinnatifida var.. imberbis,P2,OSC,,198
Banksia verticillata,R,OSC,>120,198
Banksia viscida,P3,OSC,,198
Banksia xylothemelia,P3,RS,,198
Bentleya diminuta,P2,RS?,,199
Bentleya spinescens,P4,,,199
Beyeria villosa,P4,OSS,,199
Beyeria cockertonii,R,OSS,,199
Billardiera drummondii,P4,OSS,,199
Boronia acanthoclada,P2,,,199
Boronia anceps,P3,,,199
Boronia baeckeacea ssp. patula,P1,,,199
Boronia clavata,R,OSS,,199
Boronia coriacea,P2,,,199
Boronia corynophylla,P2,,,199
Boronia crassipes,P3,OSS?,,199
Boronia crenulata var.. angustifolia,P4,,,199
Boronia oxyantha var.. brevicalyx,P3,OSS,,199
Boronia penicillata,P3,,,199
Boronia revoluta,R,OSS?,,199
Boronia scabra ssp. attenuata,P3,,,199
Boronia virgata,P3,OSS,24,199
Borya longiscapa,P2,RS,,199
Bossiaea atrata,P3,,,199
Bossiaea concinna,P3,,,199
Bossiaea disticha,P3,,,199
Bossiaea divaricata,P4,,,199
Bossiaea flexuosa,P3,,,199
Bossiaea oxyclada,P2,,,199
Bossiaea simulata,P1,,,199
Bossiaea sp. Frankland (E.M. Sandiford EMS 896),P1,,,199
Bossiaea spinosa,P3,,,199
Brachyloma mogin,P3,,,199
Brachyloma nguba,P1,,,199
Caesia viscida,P2,GEO,,199
Caladenia abbreviata,P2,GEO,,199
Caladenia arrecta,P4,GEO,,199
Caladenia bryceana ssp. bryceana,R,GEO,,199
Caladenia christineae,R,GEO,,199
Caladenia cristata,P4,GEO,,199
Caladenia dorrienii,R,GEO,,199
Caladenia erythrochila,P2,GEO,,199
Caladenia evanescens,P1,GEO,,199
Caladenia exstans,P4,GEO,,199
Caladenia harringtoniae,R,GEO,,199
Caladenia integra,P4,GEO,,199
Caladenia interjacens,P4,GEO,,199
Caladenia longifimbriata,P1,GEO,,199
Caladenia luteola,P2,GEO,,199
Caladenia plicata,P4,GEO,,199
Caladenia startiorum,P2,GEO,,199
Caladenia voigtii,P4,GEO,,199
Caladenia x triangularis,P4,GEO,,200
Calectasia cyanea,R,OSS,84,200
Calectasia keigheryi,P2,RS,,200
Calectasia obtusa,P3,RS,,200
Calochilus sp. Hopetoun (H. Taylor s.n.),P2,GEO,,200
Calothamnus affinis,P4,OSC,48,200
Calothamnus crassus,P4,RS/OSC,,200
Calothamnus macrocarpus,P2,RS,,200
Calothamnus microcarpus,P2,OSC,36±,200
Calothamnus robustus,P3,?OSC,,200
Calothamnus sp. Mt Lindesay (B.G. Hammersley 439),P2,RS/OSC,60 to 72,200
Calycopeplus marginatus,P3,?OSS,,200
Calytrix nematoclada,P3,,,200
Calytrix pulchella,P3,,,200
Carex tereticaulis,P1,,,200
Carpobrotus pulcher,P2,,,200
Caustis sp. Boyanup (G.S. McCutcheon 1706),P1,RS,,200
Centrolepis caespitosa,P4,OSS,,200
Centrolepis cephaloformis ssp. murrayi,P3,OSS,,200
Chamaescilla gibsonii,P3,GEO,,200
Chamaexeros longicaulis,P2,RS,24,200
Chamelaucium aorocladus,P2,OSS?,36±,200
Chamelaucium floriferum ssp. diffusum,P2,OSS,,200
Chamaluacium floriferum floriferum,P3,OSS,36 to 48,200
Chamelaucium forrestii ssp. forrestii,P2,OSS,,200
Chamelaucium forrestii ssp. orarium,P2,,,200
Chamelaucium juniperinum,P2,OSS,,200
Chordifex abortivus,R,OSS,,200
Chordifex gracilior,P3,OSS,,200
Chordifex isomorphus,P4,RS,,200
Chordifex jacksonii,P2,OSS,24,200
Chordifex leucoblepharus,P2,RS,,200
Chordifex ornatus,P2,OSS,,200
Chorizema carinatum,P3,,,200
Chorizema circinale,P1,OSS,,200
Chorizema reticulatum,P3,OSS,24,200
Chorizema ulotropis,P4,,,200
Chthonocephalus multiceps,P2,,,200
Coleanthera coelophylla,P1,,,200
Comesperma calcicola,P3,,,200
Comesperma lanceolatum,P2,,,200
Commersonia sp. Mt Groper (R. Cranfield & D. Kabay 9157),R,OSS,,200
Conospermum coerulescens ssp. coerulescens,P1,,,200
Conospermum quadripetalum,P2,OSS?,,200
Conospermum sigmoideum,P2,,,200
Conospermum spectabile,P2,OSS,>36,200
Conostephium marchantiorum,P3,,,200
Conostephium uncinatum,P1,,,201
Conostylis lepidospermoides,R,,,201
Conostylis misera,R,RS,,201
Conostylis seorsiflora ssp. Nyabing(A.Coates s.n.),P2,,,201
Coopernookia georgei,R,OSS,,201
Corybas limpidus,P4,GEO,,201
Cryptandra arbutiflora var.. pygmaea,P1,,,201
Cryptandra congesta,R,RS/OSS,17,201
Cryptandra craigiae,P1,?OSS,36±,201
Cryptandra exserta,P1,,,201
Cryptandra inconspicua,P2,,,201
Cryptandra polyclada ssp. polyclada,P3,,,201
Cyathochaeta stipoides,P3,,,201
Cyathochaeta teretifolia,P3,,,201
Cyathostemon sp. Dowak (J.M. Fox 86/271),P1,,,201
Cyathostemon sp. Lake King (M.E. & M.E. Trudgen 1462),P2,,,201
Cyathostemon sp. Salmon Gums (B. Archer 769),P3,,,201
Cymbonotus preissianus,P3,,,201
Dampiera decurrens,P2,,,201
Dampiera deltoidea,P4,OSS,< 48,201
Dampiera fitzgeraldensis,P2,,,201
Dampiera orchardii,P2,,,201
Dampiera sericantha,P3,OSS,,201
Darwinia calothamnoides,R,,,201
Darwinia carnea,R,,,201
Darwinia collina,R,OSS,72 to 84,201
Darwinia hypericifolia,P4,OSS,48+,201
Darwinia leiostyla,P4,OSS,36,201
Darwinia luehmannii,P2,,,201
Darwinia macrostegia,P4,OSS,≥36,201
Darwinia meeboldii,R,OSS,48 +,201
Darwinia oxylepis,R,OSS,48 to 60,201
Darwinia polycephala,P4,,,201
Darwinia sp. Gibson (R.D. Royce 3569),P1,,,201
Darwinia sp. Mt Baring (K.R. Newbey 9775),P1,,,201
Darwinia sp. Mt Burdett (N.G. Marchant 80/42),P4,,,201
Darwinia sp. Mt Ney (M.A. Burgman & S. McNee 1274),P1,,,201
Darwinia sp. Mt Ragged (S. Barrett 663),P2,OSS,36 to 48,201
Darwinia sp. Peak Charles (A.S. George 10627),P2,,,201
Darwinia sp. Stirling Range (G.J. Keighery 5732),R,OSS,60 to 72,201
Darwinia sp.Thumb Peak(K.R.Newbey 4847),P2,OSS?,,201
Darwinia squarrosa,R,OSS,48 to 60,201
Darwinia wittwerorum,R,OSS,60,201
Daviesia campephylla,P2,,,201
Daviesia glossosema,R,OSS,48,201
Daviesia megacalyx,R,OSS,48,201
Daviesia mesophylla,P2,OSS,≥24,201
Daviesia newbeyi,P2,,,201
Daviesia obovata,R,RS/ OSS,,202
Daviesia ovata,R,RS/ OSS,,202
Daviesia pauciflora,P2,,,202
Daviesia pseudaphylla,R,OSS,36,202
Degelia flabellata,P2,Lichen,,202
Desmocladus biformis,P3,,,202
Deyeuxia drummondii,R,OSS,12 to 24,202
Deyeuxia inaequalis,P1,,,202
Dicrastylis archeri,P1,,,202
Dicrastylis capitellata,P1,,,202
Dicrastylis corymbosa,P3,,,202
Dicrastylis obovata,P2,,,202
Dillwynia acerosa,P1,,,202
Diuris drummondii,R,GEO,,202
Diuris heberlei,P2,GEO,,202
Dodonaea hexandra,P1,,,202
Drakaea micrantha,R,GEO,,202
Drepanocladus aduncus,P2,Moss,,202
Drosera binata,P2,OSS?,12 to 24,202
Drosera fimbriata,P4,OSS,12,202
Drosera gibsonii,P2,GEO?,,202
Drosera salina,P2,GEO?,,202
Drummondita longifolia,R,OSS,36 +,202
Eremophila biserrata,P4,OSS,,202
Eremophila chamaephila,P2,OSS,,202
Eremophila ciliata,R,OSS,,202
Eremophila compressa,P3,OSS,,202
Eremophila denticulata ssp. denticulata,R,OSS,,202
Eremophila denticulata ssp. trisulcata,R,OSS,24 to 36,202
Eremophila glabra ssp. Scaddan (C. Turley s.n. 10/11/2005),P1,RS/OSS,,202
Eremophila lactea,R,OSS,24 to 36,202
Eremophila oblonga,P1,RS/OSS,,202
Eremophila racemosa,P4,OSS,,202
Eremophila serpens,P4,OSS,,202
Eremophila subteretifolia,R,OSS,,202
Eremophila succinea,P3,OSS,,202
Eremophila veneta,P4,RS/OSS,,202
Eriochilus scaber ssp orbifolia,P1,GEO,12,202
Eryngium ferox,P3,,,202
Eucalyptus acies,P4,RS,,202
Eucalyptus aquilina,P4,RS,,202
Eucalyptus arborella,P3,OSC,,202
Eucalyptus balanopelex,P1,RS,,202
Eucalyptus brandiana ms,P?,OSC,,202
Eucalyptus brevistylis,P4,RS/OSC,,202
Eucalyptus brockwayi,P3,OSC,,202
Eucalyptus buprestium x erectifolia,P4,RS,,202
Eucalyptus buprestium x ligulata,P4,RS,,202
Eucalyptus buprestium x marginata,P4,RS,,203
Eucalyptus buprestium x staeri,P4,RS,,203
Eucalyptus burdettiana,R,RS,,203
Eucalyptus calcicola ssp. calcicola,P4,RS,,203
Eucalyptus calcicola ssp. unita,P4,RS,,203
Eucalyptus calyerup,P1,OSC,,203
Eucalyptus coronata,R,RS,,203
Eucalyptus creta,P3,OSC,,203
Eucalyptus deflexa,P4,RS,,203
Eucalyptus desmondensis,P4,RS,,203
Eucalyptus dielsii x platypus,P1,OSC,,203
Eucalyptus dolichorhyncha,P4,OSC,,203
Eucalyptus erectifolia,P4,RS,,203
Eucalyptus famelica,P3,RS,,203
Eucalyptus foliosa,P3,,,203
Eucalyptus fraseri ssp. melanobasis,P2,OSC,,203
Eucalyptus georgei ssp. fulgida,P4,OSC,,203
Eucalyptus georgei ssp. georgei,P4,OSC,,203
Eucalyptus goniantha ssp. goniantha,P4,RS,,203
Eucalyptus histophylla,P3,RS,,203
Eucalyptus insularis,R,RS,,203
Eucalyptus latens,P4,RS,,203
Eucalyptus ligulata ssp. ligulata,P4,RS,,203
Eucalyptus ligulata ssp. stirlingica,P4,RS,,203
Eucalyptus litorea,P2,RS,,203
Eucalyptus marginata x pachyloma,P4,RS,,203
Eucalyptus mcquoidii,P2,OSC,,203
Eucalyptus melanophitra,P4,OSC,,203
Eucalyptus merrickiae,R,RS,,203
Eucalyptus microschema,P3,RS,,203
Eucalyptus misella,P1,,,203
Eucalyptus newbeyi,P3,OSC,,203
Eucalyptus nutans,R,OSC,,203
Eucalyptus praetermissa,P4,OSC,,203
Eucalyptus preissiana ssp. lobata,P4,RS,,203
Eucalyptus preissiana x staeri,P4,RS,,203
Eucalyptus proxima,P4,RS,,203
Eucalyptus purpurata,R,OSC,,203
Eucalyptus quaerenda,P3,RS,,203
Eucalyptus retusa,P?,RS,,203
Eucalyptus rhomboidea,P4,OSC,,203
Eucalyptus rugulata,P4,OSC,,203
Eucalyptus semiglobosa,P3,RS,,203
Eucalyptus sinuosa,P2,RS,,203
Eucalyptus sp. Esperance (M.E. French 1579),P1,,,203
Eucalyptus sp. Fitzgerald River (M.I.H. Brooker 10923),P2,,,203
Eucalyptus steedmanii,R,OSC,,203
Eucalyptus stoatei,P4,OSC,,203
Eucalyptus sweedmaniana ms,P1,RS,,204
Eucalyptus varia ssp. salsuginosa,P4,RS,,204
Eucalyptus vesiculosa,P2,OSC,,204
Eucalyptus virginea,P4,RS/OSC,,204
Eucalyptus x bennettiae,P4,RS,,204
Eucalyptus x chrysantha,P2,RS,,204
Eucalyptus x erythrandra,P4,RS,,204
Eucalyptus x kalganensis,P4,RS,,204
Eucalyptus x missilis,P4,RS,,204
Eucalyptus x stoataptera,P2,RS/OSC,,204
Euphrasia scabra,P2,OSS,?,204
Euryomyrtus leptospermoides,P3,,,204
Eutaxia acanthoclada,P3,,,204
Eutaxia actinophylla,P1,,,204
Eutaxia andocada,P1,,,204
Eutaxia nanophylla,P3,,,204
Fabronia hampeana,P2,,,204
Frankenia brachyphylla,P2,,,204
Frankenia drummondii,P3,,,204
Gahnia sclerioides,P3,RS,,204
Galium migrans,P3,OSS,,204
Gastrolobium acrocaroli,P2,?OSS,,204
Gastrolobium crenulatum,P2,OSS,,204
Gastrolobium cruciatum,P3,,,204
Gastrolobium elegans,P2,OSS,,204
Gastrolobium ferrugineum,P2,OSS,,204
Gastrolobium formosum,P3,,,204
Gastrolobium humile,P1,,,204
Gastrolobium involutum,P1,,,204
Gastrolobium leakeanum,P2,OSS,48±,204
Gastrolobium lehmannii,R,,,204
Gastrolobium luteifolium,R,OSS,72,204
