dataset_id,find,cleaned_name,replace,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code,
Barrett_2009,Acacia spp,Acacia sp.,Acacia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Atriplex spp,Atriplex sp.,Atriplex sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Baumea spp,Baumea sp.,Baumea sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Boronia sp..,Boronia sp.,Boronia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Borya sp..,Borya sp.,Borya sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Borya spp,Borya sp.,Borya sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Daviesia spp,Daviesia sp.,Daviesia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Eremophila spp,Eremophila sp.,Eremophila sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Eucalyptus spp,Eucalyptus sp.,Eucalyptus sp. [Eucalyptus sp. 1; Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,x
Barrett_2009,Eucalyptus spp,Eucalyptus sp.,Eucalyptus sp. [Eucalyptus sp. 2; Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,x
Barrett_2009,Frankenia spp,Frankenia sp.,Frankenia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Grevillea spp,Grevillea sp.,Grevillea sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Juncus spp,Juncus sp.,Juncus sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Keraudrenia sp..,Keraudrenia sp.,Keraudrenia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Leucopogon spp,Leucopogon sp.,Leucopogon sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Meeboldina spp,Meeboldina sp.,Meeboldina sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Melaleuca spp,Melaleuca sp.,Melaleuca sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Schoenus spp,Schoenus sp.,Schoenus sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Sphaerolobium spp,Sphaerolobium sp.,Sphaerolobium sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Thomasia sp.,Thomasia sp.,Thomasia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Verticordia spp,Verticordia sp.,Verticordia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Westringia spp,Westringia sp.,Westringia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known,
Barrett_2009,Dodanaea spp,Dodanaea sp.,Dodonaea sp. [Barrett_2009],APC,genus,Fuzzy match of taxon name ending with `sp.` to an APC-accepted genus (2023-09-08),match_01b_fuzzy_genus_accepted,
Barrett_2009,Callistachys lanceolatum / sp South Coast,Callistachys lanceolatum / sp. South Coast,Callistachys sp. [Callistachys lanceolatum / sp. South Coast; Barrett_2009],APC,genus,Exact match to APC genus. Taxon name includes '/' (slash) indicating an uncertain species identification but an accepted genus and taxon can only be aligned to genus-rank (2023-09-08),match_04a_indecision_accepted_or_known_genus,
Barrett_2009,Acacia drummondii ssp. elegans Porongurup variant (R.J. Cumming 938),Acacia drummondii subsp. elegans Porongurup variant (R.J. Cumming 938),Acacia drummondii subsp. elegans Porongurup variant (R.J.Cumming 938),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),Acacia leioderma var. Fitzgerald River N.P. variant (A.S.George 9922),APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia sp. Esperance (M.A. Burgman 1833b),Acacia sp. Esperance (M.A. Burgman 1833b),Acacia sp. Esperance (M.A.Burgman 1833b),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia sp. Petrudor Rocks (B.R. Maslin 7714),Acacia sp. Petrudor Rocks (B.R. Maslin 7714),Acacia sp. Petrudor Rocks (B.R.Maslin 7714),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),Acacia sp. Ravensthorpe Range (B.R.Maslin 5463),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia sulcata ssp. sulcata,Acacia sulcata subsp. sulcata,Acacia sulcata var. sulcata,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia tryptycha,Acacia tryptycha,Acacia triptycha,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Acacia unifillis,Acacia unifillis,Acacia unifissilis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Adeanthos cuneatus,Adeanthos cuneatus,Adenanthos cuneatus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Adenanthos eyri,Adenanthos eyri,Adenanthos eyrei,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Adenanthos labilliardierei,Adenanthos labilliardierei,Adenanthos labillardierei,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Adenanthos sericeous,Adenanthos sericeous,Adenanthos sericeus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Allocasuarina hystericosa,Allocasuarina hystericosa,Allocasuarina hystricosa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Allocasuarina microstachys,Allocasuarina microstachys,Allocasuarina microstachya,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Allocasuarina sclerocalda,Allocasuarina sclerocalda,Allocasuarina scleroclada,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Andersonia hammerslyeana,Andersonia hammerslyeana,Andersonia hammersleyana,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Astroloma sp. Grass Patch (A.J.G. Wilson 110),Astroloma sp. Grass Patch (A.J.G. Wilson 110),Astroloma sp. Grass Patch (A.J.G.Wilson 110),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Baeckea sp. Gibson (K.R. Newbey 11084),Baeckea sp. Gibson (K.R. Newbey 11084),Baeckea sp. Gibson (K.R.Newbey 11084),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Baeckea sp. Hatter Hill (K.R. Newbey 3284),Baeckea sp. Hatter Hill (K.R. Newbey 3284),Baeckea sp. Hatter Hill (K.R.Newbey 3284),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
Barrett_2009,Baeckea sp. Mt Gibbs (G.F. Craig 7031),Baeckea sp. Mt Gibbs (G.F. Craig 7031),Baeckea sp. Mt Gibbs (G.F.Craig 7031),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name,
