Species,Species_code
Banksia ericifolia,ERIC
Banksia oblongifolia,OBL
Banksia serrata,SERR
Caustus pentandra,CAUSTUS
Cyathochaeta diandra,CYA
Empodisma minus,EMP
Entolasia stricta,ENTO
Eurychorda complanata,EURY
Gonocarpus micranthus,GONO
Gonocarpus tetragynus,TETRA
Haemodorum corymbosum,CORY
Haemodorum planifolium,PLAN
Hypolaena fastigata,HYPO
Lepidosperma concavum,CONCA
Lepidosperma neesii,NEE
Leptocarpus tenax,TENAX
Leptospermum squarosum,LEPTO
Lepyrodia scariosa,LEPY
Lomandra obliqua,LOMA
Plinthanthesis paradoxa,PLIN
Ptilothix deusta,PTI
Xyris bracteata,XYR
